province_n,district_n,sector_nam,cell_name,mean,median,sum
Amajyaruguru,Gakenke,Rushashi,Kageyo,0.13736591168812343,0.0,3.846245527267456
Amajyaruguru,Gakenke,Rushashi,Mbogo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rushashi,Razi,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rushashi,Rwankuba,0.0,0.0,0.0
Amajyaruguru,Gakenke,Rushashi,Shyombwe,0.015346378087997437,0.0,0.4143522083759308
Amajyaruguru,Gicumbi,Bukure,Karenge,0.025116388614361104,0.0,1.6325652599334717
Amajyaruguru,Gicumbi,Bukure,Kigabiro,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Bukure,Kivumu,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Bukure,Rwesero,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Bwisige,Bwisige,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Bwisige,Gihuke,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Bwisige,Mukono,0.24691065619973576,0.0,8.394962310791016
Amajyaruguru,Gicumbi,Bwisige,Nyabushingitwa,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Byumba,Gacurabwenge,2.3368089463975696,1.906576156616211,84.1251220703125
Amajyaruguru,Gicumbi,Byumba,Gisuna,2.6232667810776653,2.1372811794281006,44.59553527832031
Amajyaruguru,Gicumbi,Byumba,Kibali,0.5824593305587769,0.6110153198242188,9.31934928894043
Amajyaruguru,Gicumbi,Byumba,Kivugiza,0.046697015347688095,0.0,1.0740313529968262
Amajyaruguru,Gicumbi,Byumba,Murama,0.2875697272164481,0.0,6.03896427154541
Amajyaruguru,Gicumbi,Byumba,Ngondore,0.5736500566655939,0.5574514269828796,12.620301246643066
Amajyaruguru,Gicumbi,Byumba,Nyakabungo,0.3245172841208322,0.0,4.54324197769165
Amajyaruguru,Gicumbi,Byumba,Nyamabuye,0.9047902425130209,0.6231518983840942,27.143707275390625
Amajyaruguru,Gicumbi,Byumba,Nyarutarama,0.9724696089581746,0.723054826259613,39.871253967285156
Amajyaruguru,Gicumbi,Cyumba,Gasunzu,0.04171297379902431,0.0,0.5839816331863403
Amajyaruguru,Gicumbi,Cyumba,Muhambo,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Cyumba,Nyakabungo,0.16469666692945692,0.0,2.9645400047302246
Amajyaruguru,Gicumbi,Cyumba,Nyambare,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Cyumba,Nyaruka,0.6982575416564941,0.6470187902450562,13.965150833129883
Amajyaruguru,Gicumbi,Cyumba,Rwankonjo,1.1623029708862305,1.0474849939346313,32.54448318481445
Amajyaruguru,Gicumbi,Giti,Gatobotobo,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Giti,Murehe,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Giti,Tanda,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Kageyo,Gihembe,1.427248546055385,1.2810604572296143,39.96295928955078
Amajyaruguru,Gicumbi,Kageyo,Horezo,1.0646746317545572,1.0138862133026123,31.94023895263672
Amajyaruguru,Gicumbi,Kageyo,Kabuga,0.6804798671177456,0.5215878486633301,19.053436279296875
Amajyaruguru,Gicumbi,Kageyo,Muhondo,0.020748858451843263,0.0,0.5187214612960815
Amajyaruguru,Gicumbi,Kageyo,Nyamiyaga,0.8180974324544271,0.5224041938781738,29.451507568359375
Amajyaruguru,Gicumbi,Kaniga,Bugomba,0.16173793247767856,0.0,5.66082763671875
Amajyaruguru,Gicumbi,Kaniga,Gatoma,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Kaniga,Mulindi,0.4166527052183409,0.5623936057090759,15.416150093078613
Amajyaruguru,Gicumbi,Kaniga,Nyarwambu,0.7441385814121791,0.6178515553474426,20.835880279541016
Amajyaruguru,Gicumbi,Kaniga,Rukurura,0.015415060851309035,0.0,0.5549421906471252
Amajyaruguru,Gicumbi,Manyagiro,Kabuga,0.2650701911361129,0.0,7.156895160675049
Amajyaruguru,Gicumbi,Manyagiro,Nyiragifumba,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Manyagiro,Nyiravugiza,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Manyagiro,Remera,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Manyagiro,Rusekera,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Manyagiro,Ryaruyumba,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Miyove,Gakenke,0.30861778259277345,0.0,10.80162239074707
Amajyaruguru,Gicumbi,Miyove,Miyove,0.42243174502724096,0.0,16.052406311035156
Amajyaruguru,Gicumbi,Miyove,Mubuga,0.8097722237570244,0.6545721888542175,46.15701675415039
Amajyaruguru,Gicumbi,Mukarange,Cyamuganga,0.01511033158749342,0.0,0.48353061079978943
Amajyaruguru,Gicumbi,Mukarange,Gatenga,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Mukarange,Kiruhura,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Mukarange,Mutarama,0.020044541877249012,0.0,0.4610244631767273
Amajyaruguru,Gicumbi,Mukarange,Rugerero,0.4687564437453811,0.5579159259796143,17.3439884185791
Amajyaruguru,Gicumbi,Mukarange,Rusambya,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Muko,Cyamuhinda,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Muko,Kigoma,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Muko,Mwendo,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Muko,Ngange,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Muko,Rebero,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Mutete,Gaseke,0.632639826560507,0.582302987575531,30.999351501464844
Amajyaruguru,Gicumbi,Mutete,Kabeza,0.01938826873384673,0.0,1.1245195865631104
Amajyaruguru,Gicumbi,Mutete,Musenyi,0.5832405090332031,0.5864342451095581,37.327392578125
Amajyaruguru,Gicumbi,Mutete,Mutandi,0.024111037453015644,0.0,1.157329797744751
Amajyaruguru,Gicumbi,Mutete,Nyarubuye,0.3561814349630605,0.0,16.38434600830078
Amajyaruguru,Gicumbi,Nyamiyaga,Gahumuliza,0.7081501219007704,0.6669507622718811,12.746702194213867
Amajyaruguru,Gicumbi,Nyamiyaga,Jamba,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Nyamiyaga,Kabeza,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Nyamiyaga,Kabuga,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Nyamiyaga,Karambo,0.7588680982589722,0.8449311852455139,24.28377914428711
Amajyaruguru,Gicumbi,Nyamiyaga,Kiziba,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Nyamiyaga,Mataba,0.250623779296875,0.0,6.265594482421875
Amajyaruguru,Gicumbi,Nyankenke,Butare,0.562048305164684,0.4879443049430847,12.365062713623047
Amajyaruguru,Gicumbi,Nyankenke,Kigogo,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Nyankenke,Kinishya,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Nyankenke,Rusasa,0.6796029663085937,0.6757427453994751,16.990074157714844
Amajyaruguru,Gicumbi,Nyankenke,Rutete,0.026483629431043352,0.0,0.5561562180519104
Amajyaruguru,Gicumbi,Nyankenke,Rwagihura,0.7223451705206008,0.46302926540374756,15.169248580932617
Amajyaruguru,Gicumbi,Nyankenke,Yaramba,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rubaya,Gihanga,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rubaya,Gishambashayo,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rubaya,Gishari,0.2508462125604803,0.0,5.518616676330566
Amajyaruguru,Gicumbi,Rubaya,Muguramo,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rubaya,Nyamiyaga,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rukomo,Cyeya,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rukomo,Cyuru,0.2972145875295003,0.0,10.699725151062012
Amajyaruguru,Gicumbi,Rukomo,Gisiza,0.034585413179899514,0.0,1.3142457008361816
Amajyaruguru,Gicumbi,Rukomo,Kinyami,0.6839339873370003,0.722491979598999,23.253755569458008
Amajyaruguru,Gicumbi,Rukomo,Mabare,0.5549531555175782,0.32433536648750305,27.747657775878906
Amajyaruguru,Gicumbi,Rukomo,Munyinya,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rushaki,Gitega,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rushaki,Kamutora,0.04782749460889148,0.0,3.6827170848846436
Amajyaruguru,Gicumbi,Rushaki,Karurama,0.02554614884512765,0.0,1.7882304191589355
Amajyaruguru,Gicumbi,Rutare,Bikumba,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rutare,Gasharu,0.04464771655889658,0.0,1.160840630531311
Amajyaruguru,Gicumbi,Rutare,Gatwaro,0.16934828758239745,0.0,3.386965751647949
Amajyaruguru,Gicumbi,Rutare,Kigabiro,0.08585784374139248,0.0,3.3484559059143066
Amajyaruguru,Gicumbi,Rutare,Munanira,0.3228636599601583,0.0,15.174592018127441
Amajyaruguru,Gicumbi,Rutare,Nkoto,0.36563682556152344,0.0,23.4007568359375
Amajyaruguru,Gicumbi,Ruvune,Cyandaro,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Ruvune,Gasambya,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Ruvune,Gashirira,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Ruvune,Kabare,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Ruvune,Rebero,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Ruvune,Ruhondo,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rwamiko,Cyeru,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rwamiko,Kigabiro,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Rwamiko,Nyagahinga,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Shangasha,Bushara,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Shangasha,Kitazigurwa,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Shangasha,Nyabishambi,0.5201262396735113,0.575251579284668,19.244670867919922
Amajyaruguru,Gicumbi,Shangasha,Nyabubare,0.0,0.0,0.0
Amajyaruguru,Gicumbi,Shangasha,Shangasha,0.2260761260986328,0.0,7.23443603515625
Amajyaruguru,Musanze,Busogo,Gisesero,1.941891236738725,1.724172592163086,42.72160720825195
Amajyaruguru,Musanze,Busogo,Kavumu,0.16167118072509765,0.0,4.041779518127441
Amajyaruguru,Musanze,Busogo,Nyagisozi,0.4435899098714193,0.0,13.307697296142578
Amajyaruguru,Musanze,Busogo,Sahara,0.9509571476986534,0.8354088664054871,18.068185806274414
Amajyaruguru,Musanze,Cyuve,Bukinanyana,2.189116973876953,2.2410318851470947,54.72792434692383
Amajyaruguru,Musanze,Cyuve,Buruba,1.0070770808628626,0.7090378403663635,28.198158264160156
Amajyaruguru,Musanze,Cyuve,Cyanya,0.053002602913800406,0.0,1.8020884990692139
Amajyaruguru,Musanze,Cyuve,Kabeza,2.551657267979213,2.016289472579956,71.44640350341797
Amajyaruguru,Musanze,Cyuve,Migeshi,0.02461636450982863,0.0,0.7631072998046875
Amajyaruguru,Musanze,Cyuve,Rwebeya,8.87264347076416,8.920265197753906,70.98114776611328
Amajyaruguru,Musanze,Gacaca,Gakoro,0.10020207344217504,0.0,4.709497451782227
Amajyaruguru,Musanze,Gacaca,Gasakuza,0.0,0.0,0.0
